danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,track_id,track_name,artists,track_genre,playlist_id,playlist_name,playlist_type
0.196,0.435,0.644,0.633,0.195,0.193,0.659,59.802,1t4EDMSxXLQhOiutcMN6VQ,Fleur,Little Symphony,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.425,0.0757,0.156,0.89,0.0375,0.901,0.111,124.374,1nJV1JGWf61WRJy851LO34,Living Room,Grouper,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.429,0.00693,0.431,0.995,0.0539,0.938,0.0711,97.075,2vD20Aj8Ru9NAmJl1Ca2qS,momentary,Ólafur Arnalds,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.108,0.0712,0.0447,0.795,0.0479,0.921,0.131,61.885,19TSZedtW2YMsqkYeVleCv,Ascar,Little Symphony,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.635,0.256,0.249,0.874,0.0355,0.95,0.107,92.025,1hdDnQRPinE8hxYhW3uy6u,The Path (A New Beginning),Gustavo Santaolalla,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.682,0.444,0.261,0.646,0.0964,0.873,0.113,131.991,0MN6XmUQqauhnaOm8BHuwB,Cosmic Lullaby 432Hz - J.C. Fous De La Mer Remix,Fous De La Mer;Clair Dietrich;J.C. Fous de la mer,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.529,0.31,0.73,0.928,0.0388,0.514,0.102,177.972,19jTCAxeVnkwKnWHSsdg0i,Lucky for You,Novo Amor;Gia Margaret,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.571,0.293,0.327,0.882,0.0336,0.815,0.605,119.515,1MPafzHDGPTx5T08I5cnr4,MGV (Musique à Grande Vitesse) 1993 (for the inauguration of the TGV North European line): 1st Region,Michael Nyman;Michael Nyman Band,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.324,0.588,0.0792,0.223,0.0518,0.464,0.523,89.826,4AFpvq7RIoky0hxjn1fKoO,Black Water,Apparat,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.199,0.102,0.262,0.838,0.0497,0.903,0.114,81.059,5EdqBLQrzOgQsHIs7A3fxA,Dalfon,Little Symphony,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.593,0.625,0.229,0.015,0.0291,0.000108,0.15,127.007,1VNP6bgTcqE6cxkU8Zpy21,Revival’s In The Air - Live,Bethel Music;Melissa Helser,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.477,0.348,0.0867,0.931,0.0335,0.949,0.11,117.94,6Xajr512QEGAZ20bqAWkyT,Near Light,Ólafur Arnalds,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.263,0.0639,0.0537,0.907,0.0383,0.884,0.108,74.584,5nsLvUjkuieHOsDyLuhel1,Sherry,Brian Eno,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.275,0.175,0.0382,0.793,0.0373,0.0218,0.111,85.56,3Cs4g3w33H9YEptmg34DQc,I Follow Rivers,Marika Hackman,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.236,0.499,0.0757,0.576,0.0396,0.745,0.0991,98.581,1NRzzTvsKWa1ABiSIMNz5H,MGV (Musique à Grande Vitesse) 1993 (for the inauguration of the TGV North European line): 5th Region,Michael Nyman;Michael Nyman Band,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.274,0.573,0.223,0.0604,0.0391,1.2e-06,0.537,126.319,4wiv0itDHcgSB8IjOxn4SA,Reason To Praise - Live,Bethel Music;Cory Asbury;Naomi Raine,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.444,0.0629,0.225,0.962,0.035,0.0069,0.097,141.325,2RaUxxkie3gGE385mTEODv,Claude's Girl,Marika Hackman,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.243,0.158,0.304,0.983,0.0494,0.937,0.117,112.454,5A2VY74odRFW9gVnFo1CRE,Spencer,Jonny Greenwood,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.466,0.67,0.395,0.155,0.0297,0.0,0.145,126.142,1gj9poFl2mLKkguqWo5Y1i,Goodness of God - Live,Bethel Music;Jenn Johnson,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.267,0.0781,0.0776,0.978,0.036,0.933,0.116,138.394,7kb31fjEs2qD0hOriq93wj,Absent Minded,Gabríel Ólafs,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.38,0.0797,0.0668,0.991,0.0438,0.935,0.123,109.091,4N7h4IHWRaJCOo1VFdTMHV,Truman Sleeps,Philip Glass,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.0746,0.156,0.0463,0.863,0.0393,0.919,0.105,80.494,70FfytITXJOz0s2xY3rOzz,Weightless Part 3,Marconi Union,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.389,0.181,0.259,0.94,0.0431,0.0,0.0644,127.965,6ECxq5Sh1ogq6oHDRUVmV2,Three,Sleeping At Last,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.608,0.687,0.548,0.449,0.0536,2.1e-06,0.0625,83.918,5Bv3hddlRFyhTcYtYeoXed,Naav (Chadhti Lehrein Laang Na Paye),Mohan,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.567,0.131,0.0657,0.888,0.029,0.0553,0.158,104.784,5xYpEeGFXmkGMBQ22NfKfO,Keep Me,Novo Amor,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.499,0.353,0.199,0.961,0.0352,0.856,0.154,99.936,6irRoPN60ApxUZDmYz2Tsw,2.3 Courante,Peter Gregson;Richard Harwood;Reinoud Ford;Tim Lowe;Ben Chappell;Katherine Jenkinson,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.401,0.504,0.285,0.0884,0.0252,0.757,0.11,98.357,4WfV1CNg91SBp8oG0VY0VB,Crush,Cigarettes After Sex,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.193,0.335,0.254,0.852,0.0314,0.131,0.117,64.078,23eNu1Z3GB7FGvI2VQYhYu,La valse d'Amélie - Version orchestre,Yann Tiersen,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.128,0.289,0.0745,0.322,0.0331,0.000707,0.197,84.422,6pWWikgjtd9ZjEuTQFyjqv,I See You - Reimagined (feat. Frida Sundemo),Lights & Motion;Frida Sundemo,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.541,0.21,0.0461,0.885,0.0373,0.868,0.0876,119.916,16Xl9H3ITIZFIYP5feQ9Sm,By the Deep Sea,Federico Albanese,ambient,KAGGLE_AMBIENT,Ambient (editorial proxy),editorial
0.306,0.387,0.295,0.561,0.0357,0.0,0.107,122.587,1zVzRVqonDIRvISsl6STFD,Vitthala Shappath,Rahul Deshpande,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.173,0.0296,0.102,0.828,0.045,0.793,0.109,120.805,21Uc581RZlBXEpX9vQcLUR,"Sonate, Op. 5: IV. (Allegro)",Arcangelo Corelli;Cet étrange éclat,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.129,0.169,0.0541,0.916,0.0408,0.942,0.124,52.153,1x7EmELLuP2FbMBWr7mJG1,Christmas Oratorio BWV 248: Shepherd's Music,Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.404,0.223,0.976,0.995,0.0433,0.91,0.127,140.763,0r9bSJ71Rzr7YJuEUjaP3C,"12 Variations on a Minuet by J.C. Fischer in C, K.179: 11. Variation X",Wolfgang Amadeus Mozart;Danielle Laval,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.572,0.0144,0.536,0.995,0.0576,0.969,0.109,123.784,3pbMHrYR8i2qndIDhwtVBg,"Carmen: ""Habanera""",Georges Bizet;Francesco Verzillo;Danilo Dellepiane,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.452,0.0397,0.87,0.996,0.0585,0.936,0.113,194.515,61bdSdLMKeBOt2oNhV9VE4,"12 Variations on ‘La belle Françoise’ in E flat, K.353: 2. Variation I",Wolfgang Amadeus Mozart;Danielle Laval,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.385,0.0554,0.321,0.987,0.0553,0.889,0.117,68.453,0vaPEm3RwpcmuotshfFN4t,"12 Variations in C Major on ""Ah, vous dirai-je Maman"", K. 265/300e: 12b. Variation XI - Pt. 2",Wolfgang Amadeus Mozart;Danielle Laval,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.375,0.226,0.857,0.986,0.0486,0.652,0.0886,71.455,6AmnZSOx2DU4Eb6Ce2KHoR,"Canon in C, K.508A",Wolfgang Amadeus Mozart;Franz Schessl;Andreas Röhn;Yang Wen Sinn,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.314,0.0401,0.386,0.994,0.0583,0.903,0.0983,170.693,3mCrcsHhchjnu5Eph2X0qM,"Piano Sonata No. 11 In A, K.331 -""Alla Turca"": 1. Thema (Andante grazioso) con variazioni 1 - 6",Wolfgang Amadeus Mozart;Mikhail Pletnev,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.601,0.0928,0.786,0.9,0.042,0.13,0.0596,70.549,4PyzUtw3jAgOE9EpgVyqqq,16 Minuets K.176: No. 10 in B flat,Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.323,0.204,0.292,0.985,0.0322,0.891,0.693,110.262,7IDaLz6aKLJBDiI2SGyU69,"Variations on ""Là ci darem la mano"" from Mozart's Don Giovanni, Op. 2: Coda. Alla Polacca - Live",Frédéric Chopin;Bruce Liu,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.414,0.328,0.79,0.86,0.0661,0.828,0.164,145.715,38fc9FLasK6nmWmT3OJVIn,Raga Baïragi-Bhaïrav - Drut Tîn-Tal,Ram Narayan;Suresh Talwalkar;François Auboux,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.158,0.00972,0.0572,0.949,0.0463,0.137,0.0955,138.062,49Zh9bgUz7SQ00D3vQuBU4,"Christmas Oratorio, BWV 248 / Part Two - For The Second Day Of Christmas: No. 10 Sinfonia",Johann Sebastian Bach;English Baroque Soloists;John Eliot Gardiner,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.345,0.147,0.13,0.907,0.0407,0.799,0.671,105.862,4BDkjIvf7i6NDIa13ULvbI,"Symphony No. 3 in C Minor, Op. 78 ""Organ"": II. Allegro moderato - Presto - Maestoso - Allegro (Excerpts Arr. E. Vandoren for Wind Ensemble) [Live]",Camille Saint-Saëns;Leander High School Wind Ensemble;Robert Selaiden,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.302,0.147,0.0578,0.964,0.0492,0.00314,0.0677,91.048,4NmrKzS26IiOpPyPZ1EHqv,"Popoli di Tessaglia... Io non chiedo, eterni dei, K. 316",Wolfgang Amadeus Mozart;Raphael Pichon;Sabine Devieilhe;Ensemble Pygmalion,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.461,0.338,0.0997,0.632,0.0805,2.57e-05,0.0803,184.143,4WMCn6s4BZZPfQT3DJbB47,The Best For You,Nana Ou-Yang,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.311,0.278,0.184,0.97,0.0409,0.0336,0.239,122.559,2Tmrq0AalsqBPUPEV2SeAy,"Spinnerlied aus dem Fliegenden Holländer, S. 440 (After Wagner's WWV 63)",Franz Liszt;Una Bourne,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.258,0.0478,0.0859,0.993,0.0505,0.902,0.113,65.37,2wmQki14Gwt1gZUQdrWI1W,"Four Pieces For Piano, Op. 119: II. Intermezzo in E Minor",Johannes Brahms;Karin Lechner,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.482,0.198,0.755,0.995,0.0561,0.808,0.152,153.773,1pxnrGFj1ZqwlNNm4aJkfb,"Carnaval, Op. 9: No. 10, Lettres dansantes (Live in Japan, 2022)",Robert Schumann;Pavel Nersessian,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.494,0.702,0.886,0.584,0.033,0.951,0.0735,100.455,2uz8tJWTg8hXUVG8llUl0E,Thillana - Dhanashree - Adi,Rajhesh Vaidhya,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.177,0.0601,0.0543,0.987,0.0405,0.894,0.0687,81.807,6zqpcC4WbL7uEweJX2PClm,Ave Maria,Johann Sebastian Bach;Charles Gounod;Kian Soltani;Aaron Pilsan,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.253,0.21,0.42,0.947,0.0373,7.09e-05,0.348,123.851,0lbfaNyOoWg9hyRCUm02MR,Om Nama Shivaya,Nithyasree Mahadevan,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.294,0.419,0.411,0.955,0.0345,0.0631,0.168,108.141,0pyPDrsgmizXAoYLp9QONX,Kaun Gali,Parveen Sultana,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.169,0.049,0.0799,0.956,0.0385,0.017,0.15,136.065,13fHL98xB2yE18abme2NbU,"Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach;Daniel Hope;Lorenza Borrani;Lucy Gould;Stewart Eaton;William Conway;Enno Senft;Stefan Maass;Stefan Rath,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.297,0.0565,0.175,0.977,0.0493,0.936,0.727,126.006,7whMmWEv7MovcqvrKDQyBZ,"Berceuse in D flat, Op. 57",Frédéric Chopin;Daniel Barenboim,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.147,0.117,0.0713,0.868,0.0412,0.732,0.346,90.476,5w3mSMUhmEqj7Y8Gpc8Ox7,"Concerto grosso In G Minor, Op. 6, No. 8, MC 6.8 ""Fatto per la Notte di Natale"": 5. Pastorale (Largo)",Arcangelo Corelli;Thomas Brandis;Emil Maas;Ottomar Borwitzky;Waldemar Döling;Wolfgang Meyer;Berliner Philharmoniker;Herbert von Karajan,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.387,0.163,0.316,0.985,0.0356,0.933,0.191,131.921,6KFPqJ0AouHrIsSANm2m7e,"Piano Concerto No. 12 in A Major, K. 414: I. Allegro",Wolfgang Amadeus Mozart;Ingrid Haebler;London Symphony Orchestra;Witold Rowicki,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.543,0.0657,0.579,0.954,0.0401,0.761,0.119,130.447,1TDTGKW2qvGEP0lsjimA3a,"Les petits riens, K.app.10 (ballet): 11. Agité",Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.411,0.568,0.431,0.388,0.0412,9.18e-06,0.106,94.952,5O2DjF5mJJwJoTkPNcQGrZ,"Mazhai - From ""Kaalidas""",Sudha Ragunathan,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.383,0.126,0.416,0.986,0.046,0.421,0.0859,90.957,3iSZoISBAyeKeQNpwrA3js,"Sonata for Piano and Violin in F, K.377: 2c. Variation 2",Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.486,0.391,0.879,0.927,0.0408,0.000874,0.149,168.338,6DTXu569XPBAm4sKH4ZDaG,Subrahmanyam,T. M. Krishna,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.707,0.606,0.918,0.615,0.089,0.0,0.0896,89.911,2vu9K6AL2g5OpPOuuu3oUY,Maargazhi Tingal,Sikkil Gurucharan,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.506,0.853,0.594,5.61e-05,0.0488,0.097,0.347,145.691,0Hk2PNJ4Ac4q9g72MSoqi7,Under a Glass Moon,Dream Theater,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.528,0.029,0.239,0.966,0.0362,0.316,0.329,129.514,2bl8Hq0Zhn9NRFr8u4zVhP,"Nutcracker Suite, Op. 71a, TH.35: Dance Of The Sugar-Plum Fairy",Pyotr Ilyich Tchaikovsky;Wiener Philharmoniker;James Levine,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.245,0.0282,0.137,0.993,0.0392,0.927,0.0976,92.531,4IobGgSRBLAawpbXZAZztg,"Impromptu No. 1 in A-Flat Major, Op. 29",Frédéric Chopin;Makiko Takeda,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.204,0.0281,0.0984,0.985,0.0445,0.00233,0.114,97.274,0vbLlw450iyA4eiJoB0pd4,"Geistliches Wiegenlied, Op. 91, No. 2",Johannes Brahms;Jessye Norman;Daniel Barenboim;Wolfram Christ,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.29,0.219,0.635,0.96,0.0362,0.612,0.514,139.681,673Cv1wGcW2G6dYqmkzzTa,"Lyric Pieces III, Op. 43 (Excerpts): No. 1, Sommerfugl",Edvard Grieg;Una Bourne,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.298,0.175,0.956,0.991,0.0329,0.902,0.132,170.345,6MMrsE9vd6ZzsElO5nwm6h,"12 Variations on ‘La belle Françoise’ in E flat, K.353: 9. Variation VIII",Wolfgang Amadeus Mozart;Danielle Laval,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.72,0.309,0.669,0.936,0.333,0.0,0.132,96.695,1phvGMk1C6xziijqXT6YAU,Excerpts From Suprabhatam - Mssubbulakshmi,M. S. Subbulakshmi;Radha Viswanathan,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.409,0.0964,0.379,0.993,0.0373,0.87,0.124,101.231,0DzcFzEdZioULwgls86VSj,"Carnaval, Op. 9: No. 14, Reconnaissance (Live in Japan, 2022)",Robert Schumann;Pavel Nersessian,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.423,0.423,0.304,0.968,0.0539,3.19e-06,0.12,144.14,2AK7ENmZdBNn62jFTtrjBl,Thunga Theera,S. Sowmya,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.336,0.163,0.448,0.996,0.0513,0.939,0.115,78.416,15ClDfkEXOazwTGLJIeK1e,"8 Variations on ‘Ein Weib ist das herrlichste Ding’ by B. Schack in F, K.613: 2. Variation I",Wolfgang Amadeus Mozart;Danielle Laval,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.215,0.0878,0.0872,0.969,0.0481,0.9,0.318,61.296,7b9TXacp5nE9yHdMGRfaUd,"Ma che vi fece... Sperai vicino, K.368: 3. Recitativo - Andantino",Wolfgang Amadeus Mozart;Heinz Holliger;Academy of St. Martin in the Fields;Kenneth Sillito,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.496,0.0441,0.541,0.996,0.0577,0.956,0.128,135.118,0MYj1nOG7eopN3sVrGXEmU,"8 Variations on ‘Ein Weib ist das herrlichste Ding’ by B. Schack in F, K.613: 1. Theme",Wolfgang Amadeus Mozart;Danielle Laval,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.368,0.115,0.503,0.985,0.0457,0.163,0.121,85.384,7rN1USAZLV2lsOT2e3ExHk,"6 Variations in G minor for Piano & Violin on ""Hélas, j'ai perdu mon amant"" K.360: Var. VI",Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.328,0.388,0.0297,0.455,0.0294,0.00174,0.111,82.01,46um7Q8vUyuEjeUqzxZ18l,Nanak Aaya,Pandit Jasraj;Bhai Nirmal Singh;Sonu Nigam;Kailash Kher;Puneet Sikka;Harbhajan Mann;Master Saleem;Roop Kumar Rathod;Bhupinder Singh;Sapna Mukherjee;Harshdeep Kaur;Ishwanik Kaur;Jiya Wadkar;Tej Boodardekar;Sukhjit Singh;Manjit Singh;Uttam Singh,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
0.284,0.00746,0.396,0.971,0.0483,0.913,0.0829,115.833,5MyYYBkmYRgssDuE1FJfJD,"Flute Quartet in D major, K.285 - Arr. for accordion and strings Richard Galliano: 2a. Adagio - Pt. 1",Wolfgang Amadeus Mozart;Richard Galliano,classical,KAGGLE_CLASSICAL,Classical (editorial proxy),editorial
