registrant_name,isrc_prefix,country_code,country,typical_volume_tier,category,notes,source
Tombola Music,SEZZ,SE,Sweden,low,CUSTOM_REGISTRANT,"Swedish registrant in Röhr/Firefly network.",Dagens Nyheter 2024
Catfish Music Group,SEXX,SE,Sweden,low,CUSTOM_REGISTRANT,"Swedish registrant associated with Röhr ghost artist network.",Dagens Nyheter 2024; internal research
Calm and Collected Music Publishing,SECC,SE,Sweden,low,CUSTOM_REGISTRANT,"Swedish registrant in ghost artist network.",Internal research; ISRC pattern matching
DEPI8 Registrant,DEPI8,DE,Germany,low,CUSTOM_REGISTRANT,"German custom registrant serving primarily Relaxing White Noise (DOJ indictment). 222 tracks. No public distributor identity found.",DOJ indictment Sept 2024; Neo4j data
DE1QW Registrant,DE1QW,DE,Germany,low,CUSTOM_REGISTRANT,"Secondary German registrant for Relaxing White Noise. 58 tracks. Custom registrant, not a known aggregator.",DOJ indictment Sept 2024; Neo4j data
ITO10 Registrant,ITO10,IT,Italy,low,CUSTOM_REGISTRANT,"Italian custom registrant serving Meditation Relax Club (DOJ indictment). 101 tracks.",DOJ indictment Sept 2024; Neo4j data
ITLU5 Registrant,ITLU5,IT,Italy,low,CUSTOM_REGISTRANT,"Secondary Italian registrant for Meditation Relax Club. 71 tracks.",DOJ indictment Sept 2024; Neo4j data
ITIWE Registrant,ITIWE,IT,Italy,low,CUSTOM_REGISTRANT,"Italian custom registrant for Calmo (DOJ indictment). 19 tracks.",DOJ indictment Sept 2024; Neo4j data
CH654 Registrant,CH654,CH,Switzerland,low,CUSTOM_REGISTRANT,"Swiss custom registrant for Calmo. 17 tracks. iMusician-adjacent prefix range but separate registrant.",DOJ indictment Sept 2024; Neo4j data
ITI5B Registrant,ITI5B,IT,Italy,very_low,CUSTOM_REGISTRANT,"Italian micro-registrant for Calmo. 1 track only.",Neo4j data
ITQV2 Registrant,ITQV2,IT,Italy,very_low,CUSTOM_REGISTRANT,"Italian micro-registrant for Calmo. 1 track only.",Neo4j data
Epidemic Sound,SEPI1,SE,Sweden,high,AGGREGATOR,"Epidemic Sound — major stock music platform. Legitimate aggregator serving content creators. High volume does not indicate fraud.",https://www.epidemicsound.com
Musicbed,USMBR,US,United States,medium,AGGREGATOR,"Musicbed — licensed music platform for video creators.",https://www.musicbed.com
Artlist,IL2AR,IL,Israel,medium,AGGREGATOR,"Artlist — Israeli stock music platform, legitimate aggregator.",https://artlist.io
SoundExchange,USSX1,US,United States,high,AGGREGATOR,"SoundExchange — US digital rights collection society, issues some ISRC prefixes.",https://soundexchange.com
PPL,GBPPL,GB,United Kingdom,high,AGGREGATOR,"PPL — UK neighbouring rights body, issues ISRC prefixes for UK labels.",https://ppluk.com
